office,district,votefor,candidate,party,votes,type,winner
US SENATOR, ,1,SEAN RYAN, ,1,Write-in,False
US SENATOR, ,1,LOGAN SNYDER, ,1,Write-in,False
US SENATOR, ,1,LINDA JOY SULLIVAN, ,1,Write-in,False
US SENATOR, ,1,RAY RASETTE, ,1,Write-in,False
US SENATOR, ,1,KEITH STERN, ,1,Write-in,False
US SENATOR, ,1,CARROLL MCALLISTER, ,1,Write-in,False
US SENATOR, ,1,MICHAEL MASHIA, ,0,Write-in,False
US SENATOR, ,1,HILLARY CLINTON, ,1,Write-in,False
US SENATOR, ,1,HILARY CLINTON, ,0,Write-in,False
US SENATOR, ,1,HILARY CLINTON, ,0,Write-in,False
US SENATOR, ,1,KEN COPP, ,0,Write-in,False
US SENATOR, ,1,ERNEST THURSTON, ,1,Write-in,False
US SENATOR, ,1,JOHN HALL, ,1,Write-in,False
US SENATOR, ,1,KITTY TOLL, ,1,Write-in,False
US SENATOR, ,1,MERLE HASKINS, ,1,Write-in,False
US SENATOR, ,1,EATEN, ,1,Write-in,False
US SENATOR, ,1,BILL SPACEMAN LEE, ,0,Write-in,False
US SENATOR, ,1,BOB DYLAN, ,0,Write-in,False
US SENATOR, ,1,BRITTANY MOORE, ,0,Write-in,False
US SENATOR, ,1,DAVE LAMODA, ,0,Write-in,False
US SENATOR, ,1,HEATHER TRUAX, ,0,Write-in,False
US SENATOR, ,1,HILLARY CLINTON, ,0,Write-in,False
US SENATOR, ,1,JOE FALVEY, ,0,Write-in,False
US SENATOR, ,1,LEE FREEMAN, ,0,Write-in,False
US SENATOR, ,1,LOUIS MEYERS, ,0,Write-in,False
US SENATOR, ,1,MATT BROWN, ,0,Write-in,False
US SENATOR, ,1,RAY PECOR, ,0,Write-in,False
US SENATOR, ,1,SUZANNE CURTIS, ,0,Write-in,False
US SENATOR, ,1,TED CASTLE, ,0,Write-in,False
US SENATOR, ,1,TYLER BARRES, ,0,Write-in,False
US SENATOR, ,1,KEITH STERN, ,0,Write-in,False
US SENATOR, ,1,BERNIE SANDERS, ,1,Write-in,False
US SENATOR, ,1,SANDERS, ,1,Write-in,False
US SENATOR, ,1,JAY CUMMINGS, ,1,Write-in,False
US SENATOR, ,1,JOSEPH PANN, ,1,Write-in,False
US SENATOR, ,1,RANDY BROCK, ,1,Write-in,False
